state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 10,10,Ben Bius,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Ben_Bius,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Ben Bius,,,
Texas,District 10,10,Robert Brown,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Robert_Brown_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Robert Brown,,,
Texas,District 10,10,Jenny Garcia Sharon,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Jenny_Garcia_Sharon,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jenny Garcia Sharon,,,
Texas,District 10,10,Chris Gober,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Chris_Gober,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Chris Gober,,,
Texas,District 10,10,Brandon Hawbaker,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Brandon_Hawbaker,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Brandon Hawbaker,,,
Texas,District 10,10,Jessica Karlsruher,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Jessica_Karlsruher,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jessica Karlsruher,,,
Texas,District 10,10,Kara King,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Kara_King,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Kara King,,,
Texas,District 10,10,Scott MacLeod,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Scott_MacLeod,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Scott MacLeod,,,
Texas,District 10,10,Jeremy Story,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Jeremy_Story,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jeremy Story,,,
Texas,District 10,10,Christopher Hurt,Republican Party,did_not_make_ballot,Republican primary,False,True,https://ballotpedia.org/Christopher_Hurt_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Christopher Hurt,,,
Texas,District 10,10,Joshua Ross Lovell,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Ross_Lovell,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Joshua Ross Lovell,,,
